OCT-MCH hour 0,OCT-MCH hour 3
-0.169723103,-0.313064211
-0.285922827,0.261499007
-0.060870592,-0.169395396
0.088096625,0.540863653
-0.013575249,-0.002542943
-0.238379271,-0.728260299
-0.116861199,-0.154501544
-0.132739298,-0.871713079
-0.145785794,-0.056833703
-0.706975677,0.030967188
-0.323901946,-0.437175741
-0.196896383,-0.515445108
-0.164518097,-0.075187285
-0.387912103,-0.329187792
0.126745151,-0.082137752
-0.053422398,-0.322889235
-0.168969551,-0.303659995
-0.226180041,-0.211167987
0.233721246,-0.079417249
0,-0.63807209
-0.518571961,-0.087870789
-0.107824093,-0.176406975
-0.461310491,-0.417222267
0,-0.531160987
0.057194849,-0.432720098
0.198085524,0.181860022
0.10131065,-0.251181626
-0.00789856,0.222815236
0.059986562,-0.135814126
0.081821471,-0.04992242
0.215018865,0.22371812
-0.259696873,-0.144036003
0.091558338,0.124957179
0.258359704,0.270435243
0.059169413,0.005607636
0.108625881,-0.019640854
-0.385205423,-0.235150411
0.130924441,0.224003149
0.079707619,0.332811147
-0.155590595,-0.057500896
-0.213722305,-0.132521945
-0.470215207,-0.182850048
-0.096274827,-0.243344191
-0.423600219,-0.095023406
-0.090569434,-0.127124757
-0.104817468,-0.075805835
-0.448683775,-0.325302051
-0.177310014,0.023532635
-0.25681624,-0.559776536
-0.352320417,-0.35867909
-0.207993578,-0.180976463
